,smiles,solv_oxidation_potential
05RPNH,COc1ccc(N(c2ccc(OC)cc2)c2ccc(-c3ccc(N(c4ccc(OC)cc4)c4ccc(OC)cc4)cc3)cc2)cc1,0.964
05POEN,COc1ccc(N(c2ccc(-c3ccccc3)cc2)c2cccc(OC)c2)cc1,0.643
05XJXO,c1ccc(-c2ccc(N(c3ccccc3)c3ccccc3)cc2)cc1,0.85
05JNUA,c1ccc(N(c2ccccc2)c2ccc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)cc2)cc1,0.629
05DUQU,c1ccc(N(c2ccccc2)c2ccccc2)cc1,-0.3
05VEUX,COc1ccc(N(c2ccc(OC)cc2)c2ccc(OC)cc2)cc1,0.316
05PNOK,CCN1c2c(C)cc(C(F)(F)F)cc2Sc2cc(C(F)(F)F)cc(C)c21,1.151
05PTMH,CCN1c2c(C)cccc2Sc2cccc(C)c21,0.905
05TRCY,CCN1c2ccccc2Sc2ccc(C(F)(F)F)cc21,0.762
05JHCB,CCN1c2ccc(OCCOCCOC)cc2Sc2cc(OCCOCCOC)ccc21,0.289
05UYEV,CCN1c2ccc(C(F)(F)C(F)(F)F)cc2Sc2cc(C(F)(F)C(F)(F)F)ccc21,0.924
05BCMO,CCN1c2ccc(C(F)(F)F)cc2Sc2cc(C(F)(F)F)ccc21,0.901
05PJTD,COCCOCCN1c2ccc(C(F)(F)F)cc2Sc2cc(C(F)(F)F)ccc21,0.765
05MJZZ,CCN1c2ccc(Br)cc2Sc2cc(Br)ccc21,0.746
05KFIE,CCN1c2ccc(Cl)cc2Sc2cc(Cl)ccc21,0.728
05KCEN,CCN1c2ccc(C#N)cc2Sc2cc(C#N)ccc21,1.038
05PESY,CCN1c2ccc(C)cc2Sc2cc(C)ccc21,0.377
05FYOH,CCN1c2ccc(OC)cc2Sc2cc(OC)ccc21,0.317
05XIVB,COCCOCCN1c2ccc(OC)cc2Sc2cc(OC)ccc21,0.353
05HONX,CC[N+](C)(C)C(C)CN1c2ccccc2Sc2ccccc21,1.077
05WEXS,CC(C)N1c2ccccc2Sc2ccccc21,0.593
05DLTF,COCCOC(C)CN1c2ccccc2Sc2ccccc21,0.724
05MYHH,COCCOCCN1c2ccccc2Sc2ccccc21,0.631
05EEZH,COCCN1c2ccccc2Sc2ccccc21,0.633
05MEGG,CN1c2ccccc2Sc2ccccc21,0.688
05STTW,c1ccc(N2c3ccccc3Sc3ccccc32)cc1,0.597
05DXWO,CCCN1c2ccccc2Sc2ccccc21,0.593
05RYQW,CC(C)(C)N1c2ccccc2Sc2ccccc21,0.87
90ZXAR,C1=CSC(=C2SC=CS2)S1,0.211
90GUQY,c1ccc2ccccc2c1,1.642
90XTPG,C#Cc1ccc(OC)cc1,1.679
90WICA,C(#Cc1ccccc1)c1ccccc1,1.789
90ZDKW,Cc1cc(C)cc(C)c1,2.015
90MHJZ,Cc1cccc(C)c1,2.123
90UZAH,Cc1ccccc1C,2.036
90UCRC,C#Cc1ccccc1,2.347
90PUBZ,Cc1ccccc1,2.26
90WTZI,C=Cc1ccc(C)c(C)c1,1.681
90DCKT,CC=Cc1ccc2c(c1)OCO2,1.14
90OBIW,CC=Cc1ccc(OC)cc1,1.231
90QEKX,CC=Cc1ccsc1,1.534
90DLRB,CC=Cc1ccccc1OC,1.305
90RJHF,CC=Cc1ccc(C)cc1,1.678
90KXKL,CC=Cc1cccc(OC)c1,1.625
90ZYYG,C1=C(c2ccccc2)CCCC1,1.389
90SGSN,CC=Cc1ccccc1C=CC,1.369
90LNDO,CC=Cc1ccc(C(C)(C)C)cc1,1.517
90GEWU,CC=Cc1cccc(C=CC)c1,1.458
90FZWF,C1=Cc2ccccc2C1,1.689
90UXRF,CC=Cc1ccccc1C,1.569
90SZNF,CC=Cc1ccc(F)cc1,1.483
90KQVF,CC=Cc1cccc(C)c1,1.507
90ILLD,CC=Cc1ccc(Cl)cc1,1.906
90WPIO,CC=Cc1ccccc1,1.552
90WBUK,CC=Cc1ccc(Br)cc1,1.741
90HAKS,CC1=CCCC1,1.691
90REEV,C=C(C)c1ccccc1,1.869
90NTBX,CC=Cc1ccc(C(=O)OC)cc1,1.759
90UGTH,CC=Cc1ccccc1Cl,1.728
90UIGY,CC1=CCCCC1,1.697
90YFKT,C=Cc1ccccc1,1.99
90ADAA,C=C(C)C=C(C)C,1.485
90SPKU,CC=C(C)C,1.724
90SZUS,CC(C)=CCO,1.809
90NLBR,C1=CC2CCC1C2,2.045
90HFSB,C1=CCCC1,2.029
90BDXR,C1=CCCCC1,1.761
90AGUM,C=C(C)CCC,2.214
90SACC,Oc1ccc(O)cc1,1.162
90IDMF,COc1ccc(O)cc1,1.125
90RZOR,Cc1cc(C)c(O)c(C)c1,1.319
90DLGM,Oc1ccc2ccccc2c1,1.31
90JISH,COc1ccccc1O,1.31
90HRGS,Cc1ccc(O)cc1C,1.459
90DMSD,Oc1ccccc1,1.828
90SXLZ,Oc1ccc(Br)cc1,1.846
90GXOE,N#Cc1ccc(O)cc1,2.1
90IVGO,COc1ccc(OC)cc1,1.144
90BTXW,COc1ccc2ccccc2c1,1.363
90RXYT,COc1ccccc1OC,1.237
90WHPN,CC(C)Oc1cccc(OC(C)C)c1,1.47
90CGNY,C1=COCCC1,1.474
90EEIQ,c1ccc(Oc2ccccc2)cc1,1.699
90IFWY,C1COCCO1,2.502
90WKQN,C1=C(N2CCCC2)CCCC1,0.178
90GAMV,Nc1ccccc1N,0.507
90WHDR,C1=C(N2CCOCC2)CCCC1,0.31
90RWOR,CN(C)c1ccccc1,0.81
90EITP,Cc1ccc(N)cc1,0.931
90CCCE,CCN(CC)CC,0.73
90BITJ,CC(C)c1cccc(C(C)C)c1N,0.797
90EODC,COc1cccc(N)c1,0.824
90AJLB,c1ccc(N2CCOCC2)cc1,0.831
90ZTYW,C1CCNC1,0.931
90AUFT,c1ccc(Nc2ccccc2)cc1,1.049
90DTUJ,C1CCNCC1,1.014
90LBRE,Nc1ccccc1,1.131
90ETKY,C1CCC2=NCCCN2CC1,0.967
90JLTN,COc1ccc(S)cc1,1.157
90TEBB,Sc1ccc(S)cc1,1.551
90OSZA,COc1ccc(SSc2ccc(OC)cc2)cc1,1.24
90SHDL,Sc1ccc2ccccc2c1,1.384
90WUBR,Cc1cccc(C)c1S,1.483
90OLZP,CSc1ccccc1,1.569
90WMUL,Cc1ccc(SSc2ccc(C)cc2)cc1,1.296
90VCWV,Sc1ccccc1,1.851
90XDNP,c1ccc(SSc2ccccc2)cc1,1.573
90WKVR,S=c1[nH]c2ccccc2[nH]1,1.213
90ECOA,COc1ccc2cc[nH]c2c1,0.878
90ZMAO,Nc1nccs1,1.362
90MGOE,COc1cccc2[nH]ccc12,0.87
90DSHI,S=c1[nH]c2ccccc2s1,1.58
90NWEA,COc1ccc2[nH]ccc2c1,1.023
90QOXN,Cn1cccc1,1.383
90KCHF,S=c1[nH]c2ccccc2o1,2.029
90GMCE,c1c[nH]cn1,1.946
90OJYD,c1ccc2[nH]ccc2c1,1.248
90PKQP,c1ccc2sccc2c1,1.638
90URPH,OCc1ccco1,1.758
90HEZN,c1ccc2occc2c1,1.894
90SSVY,c1ccoc1,2.055
90OUZA,c1ccc2ncccc2c1,2.622
90PVPY,c1cn[nH]c1,2.489
90OAGN,Brc1ccc(I)cc1,2.37
90BKRM,Clc1ccc(I)cc1,2.063
90BOFO,Ic1ccccc1,2.128
90LDWQ,Brc1ccccc1,2.386
90TUEV,Clc1ccccc1,2.512
90JXRP,O=Cc1ccc(O)cc1,2.115
90NZDY,COc1ccc(C=O)cc1,1.924
90QOAH,C(=NN(c1ccccc1)c1ccccc1)c1ccccc1,0.92
90NBGA,Cc1ccc(N=Cc2ccccc2)cc1,1.256
90TFXH,COc1cccc(N=Cc2ccccc2)c1,1.374
90GZWV,Fc1ccc(N=Cc2ccccc2)cc1,1.274
90MLQB,C(=Nc1ccccc1)c1ccccc1,1.306
90JJCA,ON=Cc1ccccc1,1.933
90WRQW,CC(=O)C1CCCCC1,2.609
90IRLX,CN1CCCN(C)C1=O,1.41
90PVJV,CN(C)C=O,2.295
90EPGK,O=C1CCCCN1,2.447
06AKSB,C=CC=CC,1.75
06ESQE,c1ccc(-c2ccccc2)cc1,1.956
06WUXM,C1=CC2Sc3ccccc3N(c3ccccc3)C2C=C1,0.752
90MOMH,Cc1cc(C(F)(F)F)ccc1N(c1ccccc1)c1ccc(C(F)(F)F)cc1C,1.178
90WROC,FC(F)(F)c1ccc(N(c2ccc(-c3ccccc3)cc2)c2ccc(C(F)(F)F)cc2)cc1,1.117
90LPMI,FC(F)(F)c1ccc(N(c2ccc(N(c3ccc(C(F)(F)F)cc3)c3ccc(C(F)(F)F)cc3)cc2)c2ccc(C(F)(F)F)cc2)cc1,0.8
90JCLK,Cc1cc(C(F)(F)F)ccc1N(c1ccc(-c2ccccc2)cc1)c1ccc(C(F)(F)F)cc1C,1.034
90QDBN,FC(F)(F)c1ccc(N(c2ccc(-c3ccc(N(c4ccc(C(F)(F)F)cc4)c4ccc(C(F)(F)F)cc4)cc3)cc2)c2ccc(C(F)(F)F)cc2)cc1,0.956
90NCLQ,Cc1cc(C(F)(F)F)ccc1N(c1ccc(N(c2ccc(C(F)(F)F)cc2C)c2ccc(C(F)(F)F)cc2C)cc1)c1ccc(C(F)(F)F)cc1C,0.748
90PNAB,FC(F)(F)c1ccc(N(c2ccccc2)c2ccc(C(F)(F)F)cc2)cc1,1.185
90TRQT,COc1ccc(N(c2ccccc2)c2ccc(OC)cc2)cc1,0.555
90PSTI,COc1ccc(N(c2ccc(OC)cc2)c2ccc(N(c3ccc(OC)cc3)c3ccc(OC)cc3)cc2)cc1,0.181
90MOFW,Cc1cc(C(F)(F)F)ccc1N(c1ccc(-c2ccc(N(c3ccc(C(F)(F)F)cc3C)c3ccc(C(F)(F)F)cc3C)cc2)cc1)c1ccc(C(F)(F)F)cc1C,0.931
05AATS,CC1=CS(=O)(=O)N(c2ccc(Cl)cc2)C(C)=C1,1.438
05UBTG,N#CC1=C(N2CCCCC2)C=C(c2ccc(Br)cc2)C1=O,1.5
05YOFP,N#CC(C#N)=C(CC1C=CC=CC=C1)c1ccccc1,1.73
05SEUE,N#CC1(C#N)C(c2ccccc2)=CC2=CC=CC=CC21,1.34
05NBTP,COC1=CC(=O)c2cc(C)oc2C1=O,2.26
05SFER,CCC1=C(C)C2=Cc3ccccc3B(O)N2C1=O,1.528
05ZVFK,COC(=O)C1C=Cc2cc(O)ccc2O1,1.171
05RUCD,O=CN1CCC2(C=CC(O)C=C2)c2cc3c(cc2C1)OCO3,1.316
05QCKY,CC1(C)Cc2ccccc2C(N2CCOCC2)=N1,1.244
05YHRH,CCC1=CC(c2ccccc2)=C(S(=O)(=O)C(F)(F)F)C12OCC(C)(C)CO2,1.897
05JYMY,COC(=O)C1=C(C(=O)OC)C2(OCC(C)(C)CO2)C(c2ccc(OC)cc2)=C1,1.239
05JATY,COc1ccc(C2C3=C(CCCC3=O)NC3=C2C(=O)CCC3)cc1,1.332
05CLZH,CCOC(=O)C(C#N)=C1NC=Nc2ccccc21,1.706
